,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
75,2548014,15294069,Private room,Busan,Haeundae,44,5.0,2,1.0,1.0,45.0,1.0,35.166872,129.172771,2016-10-28 23:36:14.977944
76,2597729,8808796,Private room,Busan,Haeundae,21,4.5,2,1.0,1.0,32.0,,35.161321,129.163463,2016-10-28 23:32:17.630164
77,2616506,13396423,Private room,Busan,Busanjin,3,5.0,2,1.0,2.0,54.0,1.0,35.148845,129.056265,2016-10-29 00:38:38.600330
78,2616653,13396423,Shared room,Busan,Busanjin,21,5.0,4,1.0,2.0,23.0,1.0,35.148813,129.056204,2016-10-28 23:17:04.947282
79,2616744,13396423,Shared room,Busan,Busanjin,16,5.0,5,1.0,2.0,23.0,1.0,35.147328,129.057055,2016-10-28 23:29:32.044590
80,2628654,13464265,Entire home/apt,Busan,Haeundae,102,5.0,12,3.0,2.0,180.0,1.0,35.164907,129.170532,2016-10-28 23:50:43.331746
81,2655454,13464265,Entire home/apt,Busan,Haeundae,97,4.5,7,2.0,1.0,90.0,1.0,35.170041,129.175809,2016-10-28 23:20:50.752678
82,2668564,13658661,Private room,Busan,Haeundae,20,4.5,2,1.0,1.0,91.0,1.0,35.162579,129.138099,2016-10-28 22:44:49.488319
83,2786056,14251239,Entire home/apt,Busan,Dong,39,4.5,6,2.0,1.0,63.0,2.0,35.109899,129.028057,2016-10-29 00:10:19.800564
84,2873016,5658291,Private room,Busan,Dongnae,17,5.0,1,1.0,1.0,45.0,2.0,35.205398,129.067206,2016-10-29 00:05:40.093948
85,2892081,14781540,Entire home/apt,Busan,Haeundae,107,5.0,8,3.0,2.0,206.0,1.0,35.160511,129.15251,2016-10-29 00:30:21.962302
86,2892748,14784094,Entire home/apt,Busan,Suyeong,15,4.5,4,2.0,,144.0,1.0,35.172081,129.112014,2016-10-28 23:31:21.562740
87,3032847,15448315,Private room,Busan,Haeundae,5,4.0,2,1.0,0.0,45.0,1.0,35.158938,129.152666,2016-10-28 23:08:16.427060
88,3106346,15546126,Private room,Busan,Suyeong,15,5.0,3,1.0,1.0,74.0,1.0,35.156983,129.133799,2016-10-28 23:49:39.305780
89,3147305,15978322,Entire home/apt,Busan,Yeongdo,23,4.5,6,2.0,2.0,127.0,1.0,35.09052,129.066707,2016-10-28 23:08:29.192640
90,3148281,15546126,Private room,Busan,Suyeong,8,5.0,2,1.0,,68.0,1.0,35.157158,129.134132,2016-10-28 23:59:25.379838
91,3148560,15546126,Private room,Busan,Suyeong,13,5.0,3,1.0,,78.0,1.0,35.157671,129.133645,2016-10-28 22:46:37.271487
92,3148912,15546126,Private room,Busan,Suyeong,8,5.0,1,1.0,,58.0,1.0,35.157169,129.133395,2016-10-28 23:45:46.286649
93,3252102,10643348,Private room,Busan,Busanjin,43,5.0,2,1.0,1.0,44.0,2.0,35.13961,129.066503,2016-10-29 00:24:24.759651
94,3274253,5182879,Shared room,Incheon,Jung,3,4.5,12,1.0,1.0,23.0,1.0,35.097659,129.029556,2016-10-29 00:48:15.168388
95,3275136,16556880,Private room,Busan,Suyeong,4,5.0,2,1.0,1.0,55.0,1.0,35.157912,129.114659,2016-10-28 22:35:12.116230
96,3275180,16556880,Private room,Busan,Suyeong,14,4.5,2,1.0,1.0,49.0,1.0,35.156479,129.116558,2016-10-29 00:34:07.653472
97,3281396,16584496,Private room,Busan,Busanjin,12,4.5,2,1.0,1.0,56.0,1.0,35.16012,129.062765,2016-10-28 23:30:17.704166
98,3284261,16550242,Entire home/apt,Busan,Haeundae,136,5.0,5,1.0,1.0,63.0,1.0,35.159488,129.162454,2016-10-28 22:35:07.377554
99,3287630,12945909,Entire home/apt,Busan,Dong,14,5.0,2,1.0,1.0,36.0,2.0,35.121149,129.042934,2016-10-28 23:46:07.038202
100,3298801,16488518,Entire home/apt,Busan,Haeundae,37,5.0,3,,1.0,45.0,1.0,35.168488,129.174423,2016-10-29 00:12:57.181864
101,3304463,15983815,Shared room,Busan,Haeundae,2,,6,1.0,,13.0,1.0,35.162076,129.155539,2016-10-28 23:43:15.027424
102,3314065,15983815,Shared room,Busan,Haeundae,1,,4,1.0,,23.0,1.0,35.16267,129.159647,2016-10-29 00:34:49.869878
103,3314451,15983815,Shared room,Busan,Haeundae,0,,4,1.0,,23.0,1.0,35.163178,129.156851,2016-10-28 22:37:21.494595
104,3320784,15983815,Shared room,Busan,Haeundae,0,,6,1.0,,21.0,1.0,35.162785,129.156874,2016-10-28 23:43:58.469329
105,3326995,16774140,Private room,Busan,Haeundae,0,,2,1.0,1.0,67.0,1.0,35.160953,129.174181,2016-10-28 23:54:07.902962
106,3346821,16890827,Entire home/apt,Busan,Haeundae,88,4.5,5,2.0,2.0,107.0,1.0,35.155672,129.147275,2016-10-28 23:40:59.748566
107,3351570,16624426,Entire home/apt,Busan,Haeundae,70,5.0,3,0.0,1.0,73.0,1.0,35.161126,129.156612,2016-10-28 23:43:37.615716
108,3405853,16303679,Entire home/apt,Busan,Haeundae,106,5.0,2,0.0,1.0,43.0,,35.159457,129.150568,2016-10-29 00:25:53.012343
109,3412360,17204430,Entire home/apt,Busan,Dong,112,5.0,2,1.0,1.0,41.0,1.0,35.120673,129.043567,2016-10-28 23:24:43.024565
110,3421856,17247961,Entire home/apt,Busan,Haeundae,16,5.0,4,1.0,1.0,82.0,2.0,35.161019,129.155193,2016-10-28 23:35:46.080741
111,3443877,17355132,Entire home/apt,Busan,Busanjin,17,4.5,6,3.0,3.0,22.0,1.0,35.160854,129.059485,2016-10-29 00:12:52.969603
112,3443940,17355132,Entire home/apt,Busan,Busanjin,8,5.0,1,10.0,1.0,43.0,1.0,35.16135,129.060361,2016-10-29 00:41:29.404125
113,3444010,17355132,Entire home/apt,Busan,Busanjin,5,4.0,2,10.0,8.0,50.0,1.0,35.161321,129.058062,2016-10-28 23:37:22.479260
114,3444105,17355132,Entire home/apt,Busan,Busanjin,3,4.5,4,10.0,8.0,87.0,1.0,35.15954,129.059977,2016-10-28 22:46:27.877063
115,3491146,17277470,Entire home/apt,Busan,Haeundae,11,5.0,4,1.0,1.0,46.0,1.0,35.161059,129.155908,2016-10-29 00:26:25.043851
116,3538978,13333513,Entire home/apt,Busan,Suyeong,0,,2,1.0,1.0,81.0,7.0,35.168067,129.114916,2016-10-28 23:20:18.401527
117,3579512,18028263,Private room,Busan,Saha,17,5.0,2,1.0,1.0,45.0,1.0,35.082146,128.985785,2016-10-28 23:27:27.522453
118,3585764,18064716,Entire home/apt,Busan,Suyeong,10,4.5,3,1.0,1.0,108.0,1.0,35.167762,129.117202,2016-10-29 00:06:37.079598
119,3651105,12617082,Entire home/apt,Busan,Busanjin,151,5.0,6,2.0,1.0,44.0,1.0,35.150203,129.04245,2016-10-29 00:24:58.569657
120,3655682,18504691,Entire home/apt,Busan,Haeundae,177,5.0,3,1.0,1.0,55.0,,35.162485,129.158492,2016-10-29 00:41:23.413385
121,3692161,17866164,Entire home/apt,Busan,Suyeong,63,5.0,4,0.0,1.0,31.0,1.0,35.152899,129.112203,2016-10-29 00:15:26.782794
122,3742475,18064716,Entire home/apt,Busan,Suyeong,11,4.5,2,1.0,1.0,49.0,1.0,35.167398,129.116007,2016-10-28 23:55:42.194202
123,3743178,5690620,Private room,Busan,Suyeong,16,4.5,3,1.0,,54.0,1.0,35.140056,129.112054,2016-10-28 23:08:51.765497
124,3777746,17275854,Entire home/apt,Busan,Dong,62,4.5,2,1.0,1.0,42.0,,35.121512,129.042491,2016-10-29 00:41:31.751416
125,3823716,15448315,Entire home/apt,Busan,Haeundae,36,4.5,4,4.0,0.0,19.0,1.0,35.160934,129.155293,2016-10-29 00:41:14.288248
126,3824018,15448315,Entire home/apt,Busan,Haeundae,26,4.0,6,6.0,0.0,16.0,1.0,35.160295,129.15304,2016-10-28 23:21:00.705967
127,3824412,15448315,Entire home/apt,Busan,Haeundae,55,4.5,8,8.0,0.0,13.0,1.0,35.159754,129.156589,2016-10-29 00:37:20.782301
128,3830137,19715335,Entire home/apt,Busan,Haeundae,51,4.5,4,1.0,1.0,45.0,1.0,35.159028,129.151633,2016-10-29 00:32:40.830695
129,3833675,18114066,Entire home/apt,Busan,Dong,97,4.5,2,1.0,1.0,41.0,1.0,35.121935,129.043812,2016-10-29 00:29:50.155886
130,3877530,18527400,Entire home/apt,Busan,Geumjeong,0,,2,1.0,1.0,45.0,1.0,35.232278,129.088819,2016-10-29 00:22:54.559324
131,3899579,19551213,Entire home/apt,Busan,Busanjin,55,4.5,2,0.0,1.0,57.0,2.0,35.159463,129.060249,2016-10-29 00:31:10.931384
132,3907485,20238856,Entire home/apt,Busan,Suyeong,11,4.5,4,2.0,1.0,82.0,1.0,35.14999,129.114936,2016-10-29 00:22:28.223183
133,3957850,18925511,Entire home/apt,Busan,Haeundae,1,,4,1.0,1.0,72.0,1.0,35.161672,129.161895,2016-10-28 22:56:50.309221
134,3958458,20508551,Entire home/apt,Busan,Busanjin,67,4.5,4,1.0,1.0,57.0,2.0,35.157412,129.050644,2016-10-29 00:28:38.905483
135,3967048,19825174,Entire home/apt,Busan,Busanjin,70,4.5,4,1.0,1.0,57.0,2.0,35.156456,129.056349,2016-10-29 00:33:33.708368
136,3972064,6042448,Entire home/apt,Busan,Haeundae,108,4.5,7,2.0,1.0,49.0,1.0,35.164722,129.165339,2016-10-28 23:45:39.649224
137,4025664,5690620,Entire home/apt,Busan,Haeundae,17,4.5,6,2.0,1.0,135.0,1.0,35.165838,129.134102,2016-10-29 00:10:31.307600
138,4041740,20956304,Entire home/apt,Busan,Haeundae,17,5.0,2,1.0,1.0,82.0,2.0,35.159345,129.153103,2016-10-28 23:38:31.204648
139,4113527,21344210,Entire home/apt,Busan,Haeundae,2,,5,3.0,2.0,226.0,1.0,35.164904,129.147406,2016-10-28 22:44:56.622789
140,4145865,10114311,Private room,Busan,Suyeong,16,5.0,4,1.0,1.0,117.0,1.0,35.151159,129.115847,2016-10-28 22:57:33.474847
141,4174457,21660947,Entire home/apt,Busan,Yeonje,109,4.5,2,1.0,1.0,20.0,1.0,35.172887,129.097024,2016-10-28 23:22:30.264640
142,4175821,21660947,Entire home/apt,Busan,Yeonje,56,4.5,2,1.0,1.0,20.0,1.0,35.172706,129.098946,2016-10-29 00:17:49.704086
143,4187223,21660947,Entire home/apt,Busan,Yeonje,104,4.5,3,1.0,1.0,20.0,1.0,35.171508,129.09848,2016-10-28 23:55:54.978834
144,4199989,19551213,Entire home/apt,Busan,Busanjin,58,4.5,2,0.0,1.0,55.0,2.0,35.159223,129.060178,2016-10-28 23:50:38.682443
145,4207859,8180419,Private room,Busan,Busanjin,25,4.5,2,1.0,,40.0,1.0,35.150323,129.058331,2016-10-29 00:24:13.515203
146,4212080,14145393,Shared room,Busan,Haeundae,6,4.5,2,1.0,1.0,24.0,1.0,35.161235,129.158655,2016-10-28 23:19:30.208880
